,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Activity
1,-44.98587514,4.540735121,-18.54903162,40.47531576,1.241968405,-21.84895647,-4.163639958,10.42914196,-8.64177432,6.064627804,STANDING
2,-38.97185612,3.150919411,8.624293155,15.4481259,7.872830238,-7.23351603,-1.804357218,0.106574407,3.822809114,0.875993463,STANDING
3,-39.19482568,9.723837378,17.08123307,14.89840546,6.617696949,-4.880351343,-7.030976821,1.936205723,-1.71464709,2.450058262,STANDING
4,-38.51728483,14.24456304,11.13400936,11.11409442,1.321251422,-4.478265066,-9.259606545,4.371914944,3.751685084,2.615452404,STANDING
5,-39.82910913,16.20080554,13.08110159,5.847366192,9.825170561,-4.892948956,-7.840319851,-11.21278386,2.743160964,2.815487297,STANDING
6,-38.97381385,17.47957881,13.9524513,0.171659161,10.08006789,-5.995430122,-4.915315587,-15.04767747,-3.647584932,5.392315221,STANDING
7,-37.44676926,12.87729774,11.10532531,6.368011382,4.758101535,-8.900462793,-4.313965296,0.4095833,-3.329890145,8.5392218,STANDING
8,-38.47362629,7.288651403,7.012564826,9.737486198,5.550385224,-7.40857317,-9.952550201,2.355825087,-1.91554381,3.762648795,STANDING
9,-39.48580255,11.40605896,5.587557165,14.59980481,4.663798312,-4.628440574,-9.836441478,3.313299581,4.123246217,-0.752154031,STANDING
10,-34.40022575,9.469396488,17.39905495,-3.002015418,2.524468842,-2.059976411,3.091707069,3.077778435,-6.630500126,0.041728351,STANDING
11,-35.61736845,13.71953358,15.92181182,-2.281105379,1.312215664,-3.733040117,0.134315037,-1.455375387,-10.07977648,-0.117265053,STANDING
12,-42.66823253,28.75465317,3.525000138,11.10998501,8.449510436,-10.79297191,-0.791971962,-0.949901918,-4.48960263,2.723369775,STANDING
13,-41.57468722,28.75134698,3.467673972,11.51306872,6.340294618,-7.239228039,0.271795506,13.95954604,-1.060197477,0.109884577,STANDING
14,-41.99471871,34.15813678,7.915655823,13.961818,2.969893205,-4.415264419,2.519288458,9.634811036,4.540415319,4.168284568,STANDING
15,-26.70854224,-33.85986668,-7.063647576,21.38132624,-24.53832625,-6.326599934,-2.557382326,11.79893689,-12.40977863,-17.88322149,STANDING
16,-38.1065703,-8.782765876,0.994571526,19.23895046,15.97626209,-14.71658683,-2.833230566,5.893265257,-14.71951242,-0.696227426,STANDING
17,-39.60401323,2.516589458,6.814297315,16.34218566,16.68111872,-11.31484347,-5.672094131,1.809417457,-0.791023917,3.356003959,STANDING
18,-39.12680085,11.55160649,9.788368669,8.190708766,12.20677652,-6.198355109,-6.028412596,1.554253585,1.788088614,4.32503973,STANDING
19,-39.84447212,21.20546099,7.076534489,4.80457664,7.890416907,-9.318121319,-0.201358894,-3.117457057,-0.186104566,5.908566426,STANDING
20,-41.83149514,22.09339779,2.060030068,11.60548806,13.66758975,-12.35227568,-0.063371658,2.552872775,-0.698739066,7.491317892,STANDING
